,opentime,open,high,low,close,volume,closetime,quote_asset_volume,num_of_trades,taker_by_base,taker_buy_quote,ignore
0,1646082000000,2834.6,2835.0,2808.89,2820.55,12952.656399999998,1646085599999,36539880.43637099,25546,6026.1345,16999715.124105,0
1,1646085600000,2820.56,2951.6,2819.78,2897.24,65710.9322,1646089199999,190268218.22380498,155152,40242.423500000004,116411244.45783599,0
2,1646089200000,2897.25,2924.71,2893.05,2920.95,33888.63419999999,1646092799999,98548690.52834103,48178,17978.861100000002,52283582.415195994,0
3,1646092800000,2920.83,2974.3,2920.54,2947.68,50968.32919999999,1646096399999,150277756.116048,91005,28644.641900000002,84492747.06889701,0
4,1646096400000,2947.68,2950.0,2913.45,2917.06,23023.6315,1646099999999,67425846.175255,50608,10664.374299999998,31227128.436695,0
5,1646100000000,2917.06,2921.54,2904.38,2917.23,18274.706299999998,1646103599999,53258581.996945,46006,9942.520000000002,28972048.140092004,0
6,1646103600000,2917.23,2918.07,2889.5,2911.83,20920.3574,1646107199999,60735759.913899995,49278,11649.277600000001,33819629.177164,0
7,1646107200000,2911.83,2932.43,2905.42,2925.01,25576.4525,1646110799999,74682256.074913,38194,9566.140099999999,27903739.665981002,0
8,1646110800000,2925.01,2934.2,2905.43,2913.47,14572.972600000001,1646114399999,42545303.203047,26063,7548.3603,22034604.338097002,0
9,1646114400000,2913.46,2921.91,2882.33,2917.31,19896.510499999997,1646117999999,57768266.832044005,36087,9761.585500000001,28346659.173690997,0
10,1646118000000,2917.31,2932.0,2913.86,2922.03,14560.190600000002,1646121599999,42558852.900624,30952,8238.8231,24083021.068472,0
11,1646121600000,2921.94,2932.67,2907.67,2923.67,14990.788799999998,1646125199999,43798709.305481,34925,7598.9511,22203123.787931003,0
12,1646125200000,2923.66,2923.96,2887.13,2895.0,27668.992,1646128799999,80377411.81084299,49240,13475.119799999999,39144602.928126,0
13,1646128800000,2894.99,2920.96,2854.09,2920.59,34153.704900000004,1646132399999,98565081.923993,61518,15864.866100000001,45848231.395617,0
14,1646132400000,2920.59,2929.15,2887.33,2903.08,23864.948800000002,1646135999999,69434517.34204802,43494,11651.290099999997,33898588.077438,0
15,1646136000000,2903.08,2954.08,2899.39,2950.45,44309.093,1646139599999,129821417.742594,77316,23337.9921,68379681.180584,0
16,1646139600000,2950.44,3033.33,2944.28,3019.76,83568.5366,1646143199999,249820427.612103,137550,44236.335499999994,132211969.44146399,0
17,1646143200000,3019.63,3037.94,2967.11,2972.63,62621.07060000001,1646146799999,188025956.59299397,98639,28602.2962,85902572.11878699,0
18,1646146800000,2972.63,2986.1,2926.0,2949.0,47341.61240000001,1646150399999,140042666.06694698,80784,21250.2052,62875338.336893,0
19,1646150400000,2948.99,2968.29,2897.16,2906.0,39606.67779999999,1646153999999,116100929.65047099,67981,18871.9115,55365033.02606499,0
20,1646154000000,2905.99,2959.27,2903.08,2934.5,23717.571100000005,1646157599999,69393105.561035,44013,11827.0848,34608583.759438,0
21,1646157600000,2934.5,2959.66,2913.87,2953.32,20425.5121,1646161199999,60010567.925955,35327,12470.5945,36652134.315620996,0
22,1646161200000,2953.32,2976.48,2942.63,2945.96,13628.224600000001,1646164799999,40321551.806512,32993,6937.6774000000005,20527547.434893,0
23,1646164800000,2945.95,2977.34,2943.26,2973.97,15141.8887,1646168399999,44885633.49029601,32160,6845.1294,20279366.529047,0
24,1646168400000,2973.96,2979.99,2938.42,2955.07,13378.922700000001,1646171999999,39573434.068912,29415,6601.536899999999,19531284.893497996,0
25,1646172000000,2955.13,2975.0,2945.13,2974.4,8263.0962,1646175599999,24466102.263689,18934,4345.3112,12866581.736045001,0
26,1646175600000,2974.39,2979.37,2951.72,2976.33,13427.906700000001,1646179199999,39848511.714978,25004,6771.739,20098413.404974997,0
27,1646179200000,2976.33,2981.71,2922.35,2943.92,23857.534700000004,1646182799999,70353364.94238801,38724,11892.1443,35051090.491084,0
28,1646182800000,2943.92,2958.52,2914.21,2931.41,22479.690099999996,1646186399999,65941462.111649,33457,11052.978400000002,32410935.117664002,0
29,1646186400000,2931.41,2948.57,2915.0,2947.87,16992.2776,1646189999999,49783187.24434699,24972,8588.2058,25167579.216964997,0
30,1646190000000,2947.88,3028.0,2939.19,3016.64,46029.1591,1646193599999,137642015.826927,70437,25222.003999999997,75419717.89970598,0
31,1646193600000,3016.65,3043.91,2983.97,2997.23,40190.1039,1646197199999,121286349.47262898,66809,20268.4807,61170734.229235,0
32,1646197200000,2997.23,3008.7,2975.45,3000.69,19002.679600000003,1646200799999,56928868.886428006,30355,9722.098699999999,29129425.000622,0
33,1646200800000,3000.69,3002.44,2961.2,2967.14,15994.2092,1646204399999,47693888.47298899,29882,7048.178000000001,21014952.910687,0
34,1646204400000,2967.14,2980.42,2955.0,2968.84,18613.1116,1646207999999,55206577.201740004,34526,9544.256999999998,28307624.757367,0
35,1646208000000,2968.81,3008.6,2950.64,2977.38,28784.300399999996,1646211599999,85933050.10834202,50535,15098.6811,45093834.524703994,0
36,1646211600000,2977.37,3005.0,2970.49,2992.35,25736.051799999997,1646215199999,76923069.98936202,44207,13079.770100000002,39093868.036661,0
37,1646215200000,2992.35,3029.0,2986.23,3007.22,20235.122900000002,1646218799999,60873553.84449801,40565,10090.462599999999,30356644.995225996,0
38,1646218800000,3007.22,3008.77,2987.36,3004.33,21409.513300000002,1646222399999,64214176.395027,30992,11913.348300000001,35735754.975635,0
39,1646222400000,3004.32,3027.0,2951.46,2986.6,41350.4668,1646225999999,123549868.402978,61456,20479.6459,61251213.420950994,0
40,1646226000000,2986.61,2991.11,2925.64,2943.98,42393.342899999996,1646229599999,125007191.127298,71847,20781.521299999997,61276548.75258799,0
41,1646229600000,2943.98,3029.04,2940.92,3011.41,49079.1347,1646233199999,146691237.22495,88935,24847.4357,74294611.896419,0
42,1646233200000,3011.41,3035.0,2945.55,2952.71,69327.39459999999,1646236799999,206579334.66548002,113030,33138.435,98778134.75760297,0
43,1646236800000,2952.7,2982.42,2943.53,2963.89,22600.8848,1646240399999,67025519.675491996,40830,10561.754799999999,31335790.074023,0
44,1646240400000,2963.89,2979.2,2945.0,2945.78,13415.8463,1646243999999,39731187.41425599,27559,6354.6793,18822408.157833993,0
