,opentime,open,high,low,close,volume,closetime,quote_asset_volume,num_of_trades,taker_by_base,taker_buy_quote,ignore,id
41,1609596000000,770.77,771.28,753.0,760.94,88376.02017999998,1609599599999,67209726.9032913,61696,42650.004179999996,32438079.170666598,0,
42,1609599600000,760.99,768.99,760.86,768.43,51945.86127000001,1609603199999,39729575.587464295,29839,25961.840550000004,19854766.3740489,0,
43,1609603200000,768.45,782.98,764.5,781.94,145618.23911000002,1609606799999,112613321.9972672,75204,76054.06986999999,58841368.652187705,0,
44,1609606800000,781.94,784.66,774.04,778.84,74461.65986,1609610399999,58005209.22800709,37564,37485.65233999999,29198072.980679803,0,
45,1609610400000,778.77,784.39,772.0,780.01,57755.77853,1609613999999,44964505.7396804,35455,29248.51123,22772151.836265497,0,
46,1609614000000,780.0,787.69,776.77,784.79,56561.314900000005,1609617599999,44330259.1324243,35280,27204.91718,21318132.1211753,0,
47,1609617600000,784.79,785.48,750.12,756.55,122647.19924999999,1609621199999,94377493.5497807,75393,53605.94972,41265280.642342396,0,
48,1609621200000,756.57,771.34,751.2,768.95,69835.76346,1609624799999,53404322.1424283,43118,34805.72811999999,26624811.364909302,0,
49,1609624800000,768.94,774.5,765.06,772.19,21611.269970000005,1609628399999,16662571.9063766,21420,10338.71571,7972342.178505899,0,
50,1609628400000,772.14,777.73,762.98,774.56,38291.435359999996,1609631999999,29581204.022681102,34500,19117.03233,14771014.0487357,0,
51,1609632000000,774.44,778.86,770.59,775.81,34582.741649999996,1609635599999,26814528.4883158,28322,17514.73493,13581009.350798499,0,
52,1609635600000,775.84,779.0,772.35,776.97,27914.487110000002,1609639199999,21663976.812176,18434,13437.42457,10429518.919297399,0,
53,1609639200000,776.98,781.59,775.48,778.94,23590.90685,1609642799999,18364302.756458398,16621,11896.808840000002,9261412.824714502,0,
54,1609642800000,778.95,779.28,771.47,772.37,28221.24422,1609646399999,21882218.6129955,20077,12413.378320000002,9625813.796773301,0,
55,1609646400000,772.44,778.44,768.71,777.41,34410.738229999995,1609649999999,26595385.984909,25749,16364.686150000001,12646986.500276601,0,
56,1609650000000,777.34,790.0,776.1,786.42,81521.94162000001,1609653599999,64068296.001096,48614,42773.768809999994,33615998.4625383,0,
57,1609653600000,786.48,801.92,783.73,799.96,89185.94716000003,1609657199999,71078337.11399852,49762,50382.7006,40159078.4538332,0,
58,1609657200000,799.83,805.74,795.1,799.78,80293.36056,1609660799999,64321773.44254201,42957,41124.15979,32952038.2519585,0,
59,1609660800000,799.74,819.5,791.5,817.76,92303.75687000001,1609664399999,74374082.8159851,54372,49586.73284999999,39969414.214131296,0,
60,1609664400000,817.31,825.66,813.0,818.45,95011.06758999999,1609667999999,77776377.3506155,68843,46145.235889999996,37779742.47984891,0,
61,1609668000000,818.5,829.0,816.49,825.72,82804.3962,1609671599999,68179078.6074162,59098,43534.51010000001,35856228.379808806,0,
62,1609671600000,825.69,832.3,824.01,829.76,64169.173520000004,1609675199999,53151864.374548204,38952,34925.70692000001,28929969.560621496,0,
63,1609675200000,829.77,835.86,826.38,831.47,55214.58488,1609678799999,45899329.1004987,34400,28350.211509999997,23572769.345828697,0,
64,1609678800000,831.46,888.33,831.46,874.21,180985.66008000003,1609682399999,156229065.80507508,102310,96475.08061,83183687.3057817,0,
65,1609682400000,874.17,921.73,862.3,912.38,261568.37751999998,1609685999999,235467717.16801187,134274,135940.05812,122329779.7452354,0,
66,1609686000000,912.39,920.0,879.52,917.72,200326.60168000005,1609689599999,180931169.1155773,105075,100710.48857,91012304.9152783,0,
67,1609689600000,917.95,978.0,917.72,935.26,323944.90322000004,1609693199999,309149270.80030906,158877,156025.89466999998,148896539.8765651,0,
68,1609693200000,935.26,958.21,917.0,935.54,218672.998,1609696799999,205758533.11329973,112677,107601.60483,101276146.68044129,0,
69,1609696800000,935.65,941.93,888.93,917.54,175928.67662999997,1609700399999,161117769.7514635,95486,80492.08857000002,73724816.76377901,0,
70,1609700400000,917.77,924.11,899.38,921.53,86493.82126,1609703999999,78851087.41074242,72107,43736.949759999996,39888196.18941379,0,
71,1609704000000,921.61,964.33,920.08,946.37,145884.75288000001,1609707599999,138197487.9737356,94424,75168.56377,71214880.6700934,0,
72,1609707600000,946.38,957.87,936.45,949.77,59816.23454,1609711199999,56679305.977095895,42632,29407.787040000003,27867746.9909858,0,
73,1609711200000,949.87,997.9,945.15,991.55,150727.15339999998,1609714799999,147796416.8041078,99234,82213.17135,80583925.2576589,0,
74,1609714800000,991.73,1011.07,955.0,978.28,220030.36047999997,1609718399999,218064484.35063654,113204,122806.05228999999,121908270.6574866,0,
75,1609718400000,978.33,994.56,954.22,975.8,147491.84724000003,1609721999999,143669886.31543046,107864,71756.48487,69924992.5266201,0,
76,1609722000000,975.8,979.0,956.01,966.96,79273.06804,1609725599999,76651917.33683778,69237,39980.624399999986,38675146.9428582,0,
77,1609725600000,966.96,982.33,962.2,979.39,72619.64295,1609729199999,70632066.06249331,47066,41747.14675000001,40612622.3315663,0,
78,1609729200000,979.46,1025.81,977.84,1021.41,133239.30292000002,1609732799999,133249907.74504799,79252,74158.49638999999,74158807.18556951,0,
79,1609732800000,1021.41,1035.93,1013.75,1027.69,124509.51799000001,1609736399999,127624075.5292287,102502,65793.18901,67446542.7266268,0,
80,1609736400000,1027.7,1096.0,1016.75,1084.18,222620.92814,1609739999999,235262238.02271798,119359,115540.19952,121885345.10893078,0,
81,1609740000000,1084.45,1162.97,1078.59,1105.0,352657.89885,1609743599999,394081443.2542754,179717,182783.90163,204438367.4313215,0,
82,1609743600000,1104.99,1118.89,1012.0,1044.31,296761.70921000006,1609747199999,315934437.11397815,172259,148353.45053,157969392.75058743,0,
83,1609747200000,1044.3,1078.93,983.88,1022.64,266193.1838100001,1609750799999,274810884.3023621,145426,131708.17104000002,136227654.81500727,0,
84,1609750800000,1022.64,1029.34,909.0,970.08,384301.2902899999,1609754399999,372296551.6542519,176280,184117.26598000003,178509811.15320298,0,
85,1609754400000,969.94,985.0,890.0,965.05,335379.28615000006,1609757999999,315129596.4528812,171987,162376.14985000002,152710626.89695913,0,
86,1609758000000,965.28,979.54,933.84,976.8,190237.62721,1609761599999,182067885.35456488,104950,96480.42072999998,92362829.81584659,0,
87,1609761600000,976.97,1031.85,956.12,1019.48,235476.92979,1609765199999,234438840.4233063,132608,119110.73677999999,118549148.38918053,0,
88,1609765200000,1019.48,1020.0,975.27,1011.92,193603.2006,1609768799999,193008617.9104973,98969,94302.32692,94053059.4317211,0,
89,1609768800000,1012.56,1045.0,1001.55,1043.25,197211.31353,1609772399999,201361352.84715438,99890,93946.49144000003,95953001.71703619,0,
90,1609772400000,1043.26,1058.16,1027.03,1040.01,189054.37039999999,1609775999999,197078078.11549008,95040,85720.52278999999,89383822.761408,0,
91,1609776000000,1040.0,1048.0,982.05,1010.15,245057.38225,1609779599999,246341557.4879602,131676,122228.83704999999,122896192.64752351,0,
92,1609779600000,1010.29,1026.56,985.55,999.47,120721.62389,1609783199999,121210654.7796314,85747,58504.71533,58770527.5125449,0,
93,1609783200000,999.47,1025.68,998.92,1015.19,84703.58793000001,1609786799999,85843993.71004839,66214,43155.90413,43737843.12534709,0,
94,1609786800000,1015.09,1048.0,1011.41,1042.28,90513.65187000002,1609790399999,93429568.09790309,56758,48591.68946,50166014.73101961,0,
95,1609790400000,1042.16,1049.7,1017.46,1019.69,75599.35887,1609793999999,78269016.7989413,66787,38779.17687,40171046.061274506,0,
96,1609794000000,1019.69,1036.7,992.7,1006.19,92442.55568,1609797599999,93386179.19674368,65870,46618.1044,47114327.6641211,0,
97,1609797600000,1006.18,1024.0,1003.2,1012.72,30171.61809,1609801199999,30560645.731599502,37651,16195.18431,16404174.8332328,0,
98,1609801200000,1012.72,1046.54,1001.09,1041.43,85170.04434,1609804799999,87294808.97625309,64753,44388.481920000006,45517720.7696854,0,
99,1609804800000,1041.45,1134.6,1041.45,1095.03,257412.82599,1609808399999,281827260.9569221,155146,134362.67502999998,147017515.58402944,0,
100,1609808400000,1095.14,1118.1,1061.92,1114.52,184692.42880999998,1609811999999,202007876.14217588,128999,91512.70095,100128332.37700841,0,
101,1609812000000,1114.46,1116.72,1068.18,1078.45,114597.83122,1609815599999,124657535.9055152,91678,57070.95680000001,62078968.681793705,0,
102,1609815600000,1078.47,1087.32,995.0,1001.76,197089.21992,1609819199999,205092803.2682072,128918,89835.67777000001,93568137.23671311,0,
103,1609819200000,1001.75,1030.81,986.0,1004.1,176195.12460999997,1609822799999,178163533.0298625,137759,87862.29189,88857987.8857276,0,
104,1609822800000,1004.05,1024.46,974.45,989.83,158302.30662,1609826399999,158340392.4893953,99019,75919.74595000001,75977217.46973059,0,
105,1609826400000,989.9,1022.41,979.03,1015.15,129414.62655,1609829999999,129829692.11779991,77275,66366.95224000001,66589733.139940605,0,
106,1609830000000,1015.16,1025.0,1000.93,1003.45,61159.42688,1609833599999,61861123.0204618,43010,31859.60217,32233580.0757138,0,
107,1609833600000,1003.52,1044.71,1003.51,1026.97,105716.59565999999,1609837199999,108723594.4153279,75958,54684.39665,56227697.8456949,0,
108,1609837200000,1026.97,1050.93,1022.43,1035.85,92325.74596,1609840799999,95941020.13013141,61912,46607.16964,48444768.054547,0,
109,1609840800000,1035.85,1042.4,1014.84,1028.31,67592.17946,1609844399999,69564322.0503208,53232,30580.605069999998,31467687.4684104,0,
110,1609844400000,1028.31,1043.86,1024.07,1042.21,58899.65280999999,1609847999999,60893371.08173689,45671,29088.646240000002,30077144.3982123,0,
111,1609848000000,1042.23,1055.0,1027.27,1028.99,71642.51507,1609851599999,74534502.69718179,74585,35879.046010000005,37349734.53319251,0,
112,1609851600000,1028.98,1041.0,1020.46,1023.55,53808.51617,1609855199999,55628499.353763506,56626,24972.46849,25821382.479715895,0,
113,1609855200000,1023.75,1048.23,1001.0,1047.9,115129.67335000001,1609858799999,117601274.92794341,95907,57965.22668999999,59259268.4829487,0,
114,1609858800000,1047.94,1064.0,1036.0,1052.82,85508.32605,1609862399999,89762300.2900891,74742,41336.6947,43399183.96204719,0,
115,1609862400000,1052.83,1084.0,1036.29,1065.84,118170.17042000001,1609865999999,125638275.66007698,83963,58443.8922,62158586.59744159,0,
116,1609866000000,1065.85,1084.55,1060.7,1081.73,66686.13785,1609869599999,71375510.36785822,50810,32839.7778,35161356.1464924,0,
117,1609869600000,1081.99,1094.86,1070.05,1074.0,102112.30063000001,1609873199999,110582518.30276191,85450,49253.97389,53352446.90129279,0,
118,1609873200000,1074.0,1108.0,1040.0,1096.33,171567.07345999999,1609876799999,185241878.0775015,109994,82626.15046,89386263.65739751,0,
119,1609876800000,1096.36,1103.84,1077.05,1098.99,71410.94860000002,1609880399999,77860222.86299421,56767,32971.093369999995,35964900.7856856,0,
120,1609880400000,1099.0,1103.2,1074.44,1082.1,66771.99768999999,1609883999999,72868371.9428106,49889,32098.696200000002,35052140.41442789,0,
121,1609884000000,1082.09,1120.0,1081.94,1108.02,74059.36869999999,1609887599999,81892729.69404872,59724,41227.50763,45606463.7214946,0,
122,1609887600000,1108.18,1115.0,1081.11,1099.56,106730.68277,1609891199999,117161671.22325552,63469,52275.0801,57370954.95389961,0,
123,1609891200000,1100.16,1110.3,1063.23,1081.16,99324.20691,1609894799999,107553418.6498717,70438,47954.37292,51953286.678522296,0,
124,1609894800000,1081.01,1086.22,1057.26,1071.82,65497.17409,1609898399999,70150409.5544718,43692,31684.060929999996,33939777.68119641,0,
125,1609898400000,1071.81,1087.0,1071.81,1077.41,48874.82288000001,1609901999999,52814060.7002006,51589,24672.8538,26664239.5073224,0,
126,1609902000000,1077.47,1083.0,1061.0,1075.49,58594.988699999994,1609905599999,62695049.7239691,44968,30216.59737,32332994.954860304,0,
127,1609905600000,1075.49,1135.02,1073.03,1119.17,149574.38791000002,1609909199999,166305526.4609348,101211,84516.16983,93980509.1525222,0,
128,1609909200000,1119.17,1125.85,1086.37,1101.81,101989.34199999999,1609912799999,112942505.455483,85982,48399.32892,53618329.6627725,0,
129,1609912800000,1101.8,1118.69,1097.51,1113.22,69105.85653000002,1609916399999,76731915.7278859,46025,36147.79942,40148455.35538711,0,
130,1609916400000,1113.16,1122.02,1090.72,1106.59,77052.69559000002,1609919999999,85476951.38400298,54853,38332.647959999995,42548594.248341806,0,
131,1609920000000,1106.61,1123.51,1091.11,1110.76,105217.50189999999,1609923599999,116653607.06827761,59043,54892.35036999999,60876339.72888929,0,
132,1609923600000,1110.85,1112.87,1091.0,1099.02,83293.56814999999,1609927199999,91674557.1990273,49167,40958.48865,45080573.5934372,0,
133,1609927200000,1099.02,1119.5,1097.29,1114.75,66864.59812000001,1609930799999,74300432.0769256,41327,34189.495440000006,37984445.6952131,0,
134,1609930800000,1114.71,1166.58,1111.01,1151.88,171627.18689,1609934399999,196558886.71996027,115382,97801.27252,112020074.90228151,0,
135,1609934400000,1151.88,1158.96,1123.52,1143.61,99636.98530999999,1609937999999,113705518.81753463,62763,46782.20811,53411396.79223911,0,
136,1609938000000,1143.84,1148.0,1121.0,1134.99,94633.75531000001,1609941599999,107168665.0304553,57230,47671.79697999999,53992238.568734,0,
137,1609941600000,1134.99,1147.61,1124.61,1133.36,91718.45654,1609945199999,104228171.7621218,57043,44780.50234000001,50908208.1921884,0,
138,1609945200000,1133.23,1153.94,1130.92,1143.89,70224.15379,1609948799999,80346389.9799729,43664,34896.932969999994,39929292.4260557,0,
139,1609948800000,1144.01,1193.68,1144.01,1173.08,184933.76502999995,1609952399999,217234956.47969308,127318,97045.1352,113975882.2158605,0,
140,1609952400000,1173.09,1207.7,1171.0,1192.25,136008.83545999997,1609955999999,161966601.3043582,81944,78545.10884999999,93574476.09199908,0,
141,1609956000000,1192.27,1208.57,1183.72,1191.78,85000.17163999999,1609959599999,101534688.5019965,54398,40821.60712000001,48779039.776821114,0,
142,1609959600000,1191.77,1204.95,1150.0,1160.78,108617.44240999999,1609963199999,129038897.5862938,68513,49958.376299999996,59471894.3454571,0,
143,1609963200000,1160.78,1207.0,1116.61,1197.16,208518.37050999998,1609966799999,241927315.18126473,132917,104644.13917,121576665.39847578,0,
144,1609966800000,1197.33,1200.8,1173.23,1181.26,115873.49118,1609970399999,137443178.3903897,64439,60316.61188,71560237.96199732,0,
