,opentime,open,high,low,close,volume,closetime,quote_asset_volume,num_of_trades,taker_by_base,taker_buy_quote,ignore,id
28,1548720000000,105.49,106.61,102.22,104.45,319768.91348,1548806399999,33427469.3450618,129221,161610.46234,16896798.3063595,0,
29,1548806400000,104.41,109.8,103.45,108.29,330968.19265,1548892799999,35368520.135571,118866,168310.3525,17980658.8061686,0,
30,1548892800000,108.29,110.61,105.46,106.44,290679.61935,1548979199999,31234353.515392996,102532,146487.2295,15737903.309640698,0,
31,1548979200000,106.47,108.35,103.77,106.73,243149.88435,1549065599999,25791535.146023802,86314,120649.43802,12804365.5808535,0,
32,1549065600000,106.71,111.15,106.07,110.42,186908.7573,1549151999999,20153872.302919,67351,100348.93659999999,10827638.071308,0,
33,1549152000000,110.41,111.11,105.82,107.36,227211.54064,1549238399999,24605892.288728297,78309,104902.65217,11357020.0198699,0,
34,1549238400000,107.33,109.3,106.57,107.68,160850.10293,1549324799999,17312736.600150198,65698,83257.70317,8963437.5894017,0,
35,1549324800000,107.65,108.18,106.47,107.27,159730.1886,1549411199999,17137008.2478395,68422,82850.20631,8888920.046027802,0,
36,1549411200000,107.28,107.83,101.21,104.5,337204.30253999995,1549497599999,34984364.2970212,113955,165235.43945,17141978.430843003,0,
37,1549497600000,104.49,106.18,103.82,104.48,147942.07682999998,1549583999999,15530160.647106599,68959,74195.91673,7790406.4587851,0,
38,1549584000000,104.48,123.0,103.41,119.25,589950.64925,1549670399999,67027886.939863905,177364,304660.09924,34611554.2420151,0,
39,1549670400000,119.32,121.99,117.64,119.19,328067.9574,1549756799999,39061582.39148261,118457,169285.11511,20160805.1621845,0,
40,1549756800000,119.19,126.49,115.81,125.12,385819.09619,1549843199999,45929459.1290131,146060,202272.64362000002,24082781.0228442,0,
41,1549843200000,125.12,125.28,119.24,120.89,389405.30403999996,1549929599999,47197595.845191,129000,194142.33374,23522764.794877797,0,
42,1549929600000,120.88,123.89,118.18,122.41,343765.66987000004,1550015999999,41603632.811699,114396,176467.18014,21367768.9858149,0,
43,1550016000000,122.4,126.47,120.7,121.86,317827.31956,1550102399999,39073077.8391656,122122,160797.73684,19767987.3275933,0,
44,1550102400000,121.86,124.5,120.1,120.42,297205.78738,1550188799999,36278326.0774455,101574,144929.76588,17693650.108745098,0,
45,1550188800000,120.47,124.25,120.19,121.67,255296.0814,1550275199999,31111280.209305696,100464,132203.05707,16114091.276532399,0,
46,1550275200000,121.66,124.99,121.54,122.67,215320.70134,1550361599999,26462034.6125396,84959,112117.92743000001,13779969.811035998,0,
47,1550361600000,122.67,135.61,122.43,133.75,614788.60078,1550447999999,78958054.9589805,162769,293673.43938,37707750.002514705,0,
48,1550448000000,133.77,148.3,132.42,145.69,1079830.1502,1550534399999,152756654.6454775,299772,549759.9945400001,77775317.6933215,0,
49,1550534400000,145.69,150.0,142.36,143.44,747968.90445,1550620799999,109645050.46609719,232384,402160.07677000004,58949819.488098904,0,
