,opentime,open,high,low,close,volume,closetime,quote_asset_volume,num_of_trades,taker_by_base,taker_buy_quote,ignore,id
0,1546300800000,131.45,132.22,131.01,131.82,12677.961759999998,1546304399999,1667940.7291677997,4229,6377.7224,839180.8539296001,0,
1,1546304400000,131.83,131.88,131.0,131.14,9541.845650000001,1546307999999,1253482.0137524,3891,3501.63649,460166.7199375,0,
2,1546308000000,131.19,131.34,130.0,130.72,12039.041360000003,1546311599999,1573978.2398534,4284,5707.9513099999995,746965.9429931999,0,
3,1546311600000,130.72,131.47,130.71,131.32,6320.307429999999,1546315199999,828834.8128845999,2658,3407.66716,446885.86841179995,0,
4,1546315200000,131.31,134.0,131.3,132.35,29214.64195,1546318799999,3881617.1806344,7983,16713.620430000003,2219646.0908815,0,
5,1546318800000,132.37,132.98,132.37,132.75,6738.65777,1546322399999,894117.5111624,2461,3747.3417099999997,497130.09404510004,0,
6,1546322400000,132.74,133.5,132.67,133.36,6204.28401,1546325999999,825652.3708329,2696,3561.43489,473926.3548212001,0,
7,1546326000000,133.36,134.3,133.01,133.56,10214.950980000001,1546329599999,1364177.6048806002,4060,5295.700339999999,707343.6060687999,0,
8,1546329600000,133.56,135.3,133.19,134.52,16342.20664,1546333199999,2197047.6249323003,5494,9541.65382,1282679.2295257,0,
9,1546333200000,134.55,134.78,133.55,133.7,14895.3571,1546336799999,1998369.9858716002,4213,8587.663760000001,1151848.3355642,0,
10,1546336800000,133.72,134.14,133.66,133.86,6388.10191,1546340399999,855141.6551616001,2471,3361.17914,449949.52196060005,0,
11,1546340400000,133.89,134.7,133.71,133.75,6651.355009999999,1546343999999,892673.4804128,3084,3403.96786,456882.4184941999,0,
12,1546344000000,133.78,134.76,133.17,134.48,11418.688680000001,1546347599999,1528598.175856,3613,7206.888800000001,964266.2492642,0,
13,1546347600000,134.48,136.0,133.87,134.54,12634.38176,1546351199999,1702618.5407515003,3940,7126.672660000001,960280.8523022002,0,
14,1546351200000,134.43,134.51,132.95,133.57,13344.363179999997,1546354799999,1785498.1679984,4582,7092.154330000001,949157.7603022,0,
15,1546354800000,133.52,133.73,132.26,132.98,15723.74805,1546358399999,2091688.7988245,4755,7716.311679999999,1026687.3374834,0,
16,1546358400000,132.97,133.31,132.5,133.29,5547.5794099999985,1546361999999,737617.3931941999,2303,2899.23353,385528.36649839993,0,
17,1546362000000,133.29,133.6,132.52,132.58,5271.947550000001,1546365599999,701292.8302055,2387,2252.6863399999993,299855.3029741,0,
18,1546365600000,132.56,132.65,131.0,132.04,14789.61709,1546369199999,1949886.686019,5297,6632.036969999999,874279.2176526,0,
19,1546369200000,132.04,135.58,132.04,135.27,25553.452670000002,1546372799999,3426152.4348777,7846,14761.29377,1981394.4578694,0,
20,1546372800000,135.26,139.48,135.16,137.95,67055.85959,1546376399999,9241444.725112801,17487,34336.89414999999,4729582.660916699,0,
21,1546376400000,137.95,139.02,137.0,137.06,29727.81932,1546379999999,4103446.4900411996,7357,12218.29991,1686513.1928735,0,
22,1546380000000,137.05,137.97,136.21,137.63,18585.436359999996,1546383599999,2547250.1919345004,5467,9794.69831,1342606.9067958998,0,
23,1546383600000,137.64,140.67,136.71,139.1,44895.28274,1546387199999,6231857.953764901,13241,19632.56125,2726229.2072231006,0,
24,1546387200000,139.1,140.0,138.07,138.92,33866.97867,1546390799999,4708985.0784586,9172,18853.04472,2621853.8169912007,0,
25,1546390800000,138.92,140.0,137.76,138.04,16295.356999999996,1546394399999,2261965.2279154,5026,7762.071410000001,1077692.350124,0,
26,1546394400000,138.02,138.75,137.79,138.59,12044.923209999999,1546397999999,1666732.7619538002,3369,5281.15098,730903.3449420001,0,
27,1546398000000,138.59,139.28,138.02,138.67,10906.43754,1546401599999,1513976.2254713,4204,4106.39081,570209.028827,0,
28,1546401600000,138.66,139.58,138.3,139.18,10134.86636,1546405199999,1408153.3108948998,4444,5114.405569999999,710483.9768249999,0,
29,1546405200000,139.19,139.21,138.75,138.91,6609.118690000002,1546408799999,917969.1266736,3227,3786.74166,525960.4023110999,0,
30,1546408800000,138.91,139.31,138.3,138.99,13868.532920000001,1546412399999,1926565.7920038,4390,4424.987550000001,614665.0301050001,0,
31,1546412400000,138.99,144.0,138.96,143.48,64269.95592000001,1546415999999,9147913.267958,17532,33752.74302,4804562.523361,0,
32,1546416000000,143.48,147.3,143.42,144.57,115673.3497,1546419599999,16813619.112310003,23278,37695.68973,5473653.448702199,0,
33,1546419600000,144.58,145.6,143.65,144.62,37872.048090000004,1546423199999,5478645.552909198,9907,15574.31585,2253294.0056951,0,
34,1546423200000,144.66,149.09,144.36,148.65,62152.25443000001,1546426799999,9147690.156136697,13810,31060.648899999997,4568958.1748754,0,
35,1546426800000,148.66,149.11,146.83,147.81,54684.088359999994,1546430399999,8089077.6892205,11927,29056.375230000005,4297817.2034436,0,
36,1546430400000,147.82,148.26,146.33,148.07,33789.21198,1546433999999,4982616.7284251,9298,20525.824429999997,3028808.1828338997,0,
37,1546434000000,148.02,152.48,147.95,151.9,69139.49486,1546437599999,10386057.370825097,17969,33929.811799999996,5095174.319085401,0,
38,1546437600000,151.9,152.15,149.21,150.55,59634.56310000001,1546441199999,8966403.5527548,14284,25935.38852,3900126.0024317997,0,
39,1546441200000,150.55,151.4,146.95,148.62,45716.83940999999,1546444799999,6805423.8742511,12757,21995.37751,3276632.6907611,0,
40,1546444800000,148.62,152.25,147.92,149.24,52356.47664,1546448399999,7859064.0263958005,14830,28927.81746,4344271.8779132,0,
41,1546448400000,149.21,150.14,147.69,149.06,38895.91176,1546451999999,5794616.623025299,10730,21785.584360000004,3246106.6939751,0,
42,1546452000000,149.02,149.74,147.2,149.2,19781.68169,1546455599999,2937069.2629243997,7611,10080.758049999999,1497003.3676622,0,
43,1546455600000,149.21,151.16,148.1,150.49,23029.51629,1546459199999,3447448.7688361006,8627,12200.227420000001,1826138.7787726002,0,
44,1546459200000,150.5,151.6,149.31,151.18,28040.39021,1546462799999,4214928.170271699,9169,14087.76447,2118146.0401386,0,
45,1546462800000,151.19,154.8,150.4,153.55,49663.35339,1546466399999,7588432.239392302,15103,24587.429129999997,3759930.6045226003,0,
46,1546466400000,153.54,154.18,151.82,153.67,32984.42499,1546469999999,5045499.053166901,9389,16694.18203,2553538.3742850996,0,
47,1546470000000,153.67,155.37,151.19,152.01,50076.54003000001,1546473599999,7692618.146477399,13017,25559.68241,3930161.1769063994,0,
48,1546473600000,152.01,152.8,148.67,149.4,40996.82097,1546477199999,6191665.7019568,10865,19675.43463,2973510.8328149007,0,
49,1546477200000,149.4,151.3,149.26,150.89,22237.93294,1546480799999,3341618.8394744,7477,11146.983250000001,1675064.6035765,0,
50,1546480800000,150.88,152.21,150.0,151.03,22251.76863,1546484399999,3363215.4518476,6690,10032.302779999998,1517169.3499013004,0,
