,opentime,open,high,low,close,volume,closetime,quote_asset_volume,num_of_trades,taker_by_base,taker_buy_quote,ignore
0,1640984400000,45886.66,47555.55,45766.85,47124.82,11262.99609,1641027599999,525719511.0661114,374702,5697.91939,265911044.4683596,0
1,1641027600000,47124.82,47954.63,46715.39,47391.82,10032.02463,1641070799999,474167847.70033574,375343,5054.82907,238948182.22780702,0
2,1641070800000,47391.82,47814.0,46770.23,47222.4,8006.6489599999995,1641113999999,378707198.56326497,316229,4035.192,190888827.3955932,0
3,1641114000000,47222.4,47990.0,46654.0,47007.14,10489.99986,1641157199999,495726675.62484026,406046,5228.16761,247114721.2282882,0
4,1641157200000,47007.14,47469.34,46722.39,46978.82,8383.73659,1641200399999,394360758.3243742,309024,4259.33536,200357894.10852858,0
5,1641200400000,46978.81,47570.0,45696.0,45922.0,18030.4358,1641243599999,842098399.4760199,543426,8798.477490000001,410964020.4122622,0
6,1641243600000,45922.01,46682.06,45811.87,46489.73,13769.12873,1641286799999,636995756.6662413,411191,7083.07494,327593246.0973384,0
7,1641286800000,46489.72,47557.54,45500.0,46264.92,22402.90498,1641329999999,1043970630.8350756,619556,10893.21449,507568149.09107417,0
8,1641330000000,46264.92,46681.61,45722.21,46642.07,8614.202949999999,1641373199999,398388084.5131045,334991,4266.62594,197335542.2075257,0
9,1641373200000,46636.78,47070.0,43722.54,43967.01,32032.194,1641416399999,1458476322.3480363,837551,14508.62273,661229510.6025419,0
10,1641416400000,43967.01,44331.42,42500.0,43055.41,30154.02069,1641459599999,1305699561.0200984,861886,14116.76585,611402891.7190422,0
11,1641459600000,43055.42,43581.3,42430.58,43221.5,20431.444900000002,1641502799999,877769339.5976928,614525,10229.62113,439575839.9297831,0
12,1641502800000,43221.5,43253.29,41000.0,42088.61,27518.51077,1641545999999,1156043284.9150724,701184,13061.50804,548767476.9217587,0
13,1641546000000,42088.61,42766.17,40610.0,41922.2,26833.60274,1641589199999,1120383029.5796423,695945,13281.49091,554928737.4906858,0
14,1641589200000,41922.19,42246.37,41336.82,41964.88,8979.00306,1641632399999,375753017.0251204,332599,4379.10888,183275167.2888763,0
15,1641632400000,41964.87,42200.0,40501.0,40975.37,20519.87375,1641675599999,846887964.145896,612436,10062.72517,415308011.81151986,0
16,1641675600000,40975.36,42300.0,40923.39,41666.67,13310.39812,1641718799999,556459618.4104745,420419,6814.251909999999,284881171.385565,0
17,1641718800000,41666.66,42786.7,41200.02,42439.38,12674.820090000001,1641761999999,531706813.49059236,411416,6395.7748599999995,268352405.6837332,0
18,1641762000000,42439.38,42557.36,41601.0,41816.84,9846.746070000001,1641805199999,413432167.250646,332627,4854.5650000000005,203846843.52951512,0
19,1641805200000,41808.96,42121.63,39650.0,41714.72,40658.00928,1641848399999,1666339161.5534291,917153,19642.3188,806022225.0256116,0
20,1641848400000,41716.81,42627.66,41500.0,41991.78,13782.51763,1641891599999,579370670.9980446,383958,7004.19216,294461503.1480282,0
