,opentime,open,high,low,close,volume,closetime,quote_asset_volume,num_of_trades,taker_by_base,taker_buy_quote,ignore
0,1633035600000,43436.56,43799.93,43375.1,43754.0,920.7836299999999,1633039199999,40120496.495805904,29560,502.67949999999996,21899110.759684302,0
1,1633039200000,43754.0,43915.89,43631.14,43741.7,1044.98789,1633042799999,45713001.9390176,39705,458.60834,20063334.5867346,0
2,1633042800000,43741.69,43900.0,43590.0,43824.1,883.2964099999999,1633046399999,38653672.4486679,26143,418.81266000000005,18328658.8340308,0
3,1633046400000,43820.01,44059.0,43661.63,43694.48,2001.56071,1633049999999,87792530.45453529,46349,896.3905900000001,39324120.9588963,0
4,1633050000000,43696.14,43803.94,43417.61,43742.74,1292.5584799999997,1633053599999,56338648.2983654,31943,602.6854000000001,26271825.222601496,0
5,1633053600000,43742.74,43794.89,43283.03,43379.01,1348.70735,1633057199999,58684290.13581981,30477,657.7217099999999,28611866.1584282,0
6,1633057200000,43379.0,43680.0,43352.28,43635.79,993.1198,1633060799999,43228225.1527623,25845,503.60154000000006,21920039.235138204,0
7,1633060800000,43635.79,43715.71,43456.46,43625.02,982.32555,1633064399999,42816443.8216745,24892,572.31929,24951797.0287144,0
8,1633064400000,43625.02,43923.21,43515.61,43850.33,1190.5739100000003,1633067999999,52088456.2533044,28257,674.3358900000001,29500563.9945217,0
9,1633068000000,43850.32,44048.56,43729.0,43995.09,1537.37407,1633071599999,67516793.9086501,34797,833.47245,36606600.505734205,0
10,1633071600000,43995.1,44836.0,43916.26,44788.42,4789.7956699999995,1633075199999,213258855.49439654,104421,2744.06442,122170631.48985,0
11,1633075200000,44788.42,44999.0,44700.0,44945.8,2953.8371399999996,1633078799999,132467725.98332022,78275,1496.5916399999999,67123447.23875691,0
12,1633078800000,44945.81,45000.0,44767.29,44906.0,1809.73051,1633082399999,81267694.0622051,56723,841.9195000000001,37812501.2115628,0
13,1633082400000,44905.99,47786.7,44829.4,47081.46,12252.88214,1633085999999,572013095.1732932,292718,6784.740499999999,316434344.5157654,0
14,1633086000000,47081.47,47659.32,46957.48,47488.08,4669.208629999999,1633089599999,220975313.9346399,125755,2565.9300599999997,121432561.4428567,0
15,1633089600000,47488.07,47886.11,47170.23,47214.37,5156.10571,1633093199999,244916137.35823357,119452,2439.51783,115846255.24265382,0
16,1633093200000,47214.37,47379.99,46957.14,46980.94,2595.1389599999998,1633096799999,122493667.1000471,71442,1198.61812,56584911.27008189,0
17,1633096800000,46980.94,47347.53,46763.68,47130.0,3479.2201,1633100399999,163679194.61127082,91925,1640.8167799999999,77202624.79909472,0
18,1633100400000,47133.67,47490.71,47039.94,47363.68,3517.29015,1633103999999,166340371.7193777,80304,1509.8645900000004,71408915.5302085,0
19,1633104000000,47363.69,47850.0,47232.98,47559.88,2884.13063,1633107599999,136929179.6700562,73851,1531.67029,72743211.606984,0
20,1633107600000,47566.0,47700.0,47397.01,47617.29,1433.33933,1633111199999,68107302.23043041,43252,761.53793,36187471.8420154,0
21,1633111200000,47617.29,47928.0,47437.86,47724.18,1810.50879,1633114799999,86347518.2537903,66769,949.90705,45310382.789186694,0
22,1633114800000,47724.17,48190.0,47705.68,48030.0,2275.1379300000003,1633118399999,109043153.45600982,71324,1275.89839,61165563.65387901,0
23,1633118400000,48029.99,48183.17,47721.74,48090.42,1733.2926699999998,1633121999999,83103242.0983061,62971,825.75488,39598677.116417594,0
24,1633122000000,48090.43,48430.0,48062.59,48344.93,2069.84931,1633125599999,99872948.23993118,90740,1054.3802199999998,50870722.24943409,0
25,1633125600000,48344.93,48495.0,47710.01,48001.0,2501.54226,1633129199999,120343372.86533508,79466,1267.8144699999998,61008258.071707994,0
26,1633129200000,48000.99,48171.37,47910.36,48141.61,967.64512,1633132799999,46470726.316719204,39289,527.3296700000001,25324232.163336907,0
27,1633132800000,48141.6,48224.01,47610.76,47817.73,2213.0045199999995,1633136399999,105854129.2284462,61863,879.7114999999999,42081962.38550479,0
28,1633136400000,47817.73,48113.68,47692.51,47736.82,1408.80517,1633139999999,67439126.0646399,43093,743.3576,35580691.076553896,0
29,1633140000000,47736.81,47880.6,47634.94,47708.51,1130.7915699999999,1633143599999,53995571.1548094,30971,677.71201,32363801.9042001,0
30,1633143600000,47708.51,47790.0,47443.98,47520.84,1385.9010999999996,1633147199999,65973448.2059009,37423,695.1443299999999,33096876.409895603,0
